suburb,state,postcode,lat,lng,label
Arakoon,NSW,2431,-30.89,153.07,"Arakoon, NSW 2431"
Araluen,NSW,2622,-35.65,149.81,"Araluen, NSW 2622"
Aratula,NSW,2714,-35.51,145.05,"Aratula, NSW 2714"
Arcadia,NSW,2159,-33.62,151.05,"Arcadia, NSW 2159"
Arcadia Vale,NSW,2283,-33.06,151.58,"Arcadia Vale, NSW 2283"
Ardglen,NSW,2338,-31.73,150.79,"Ardglen, NSW 2338"
Arding,NSW,2358,-30.59,151.56,"Arding, NSW 2358"
Ardlethan,NSW,2665,-34.36,146.9,"Ardlethan, NSW 2665"
Argalong,NSW,2720,-35.32,148.45,"Argalong, NSW 2720"
Argenton,NSW,2284,-32.93,151.63,"Argenton, NSW 2284"
Argents Hill,NSW,2449,-30.62,152.75,"Argents Hill, NSW 2449"
Argoon,NSW,2707,-34.86,145.67,"Argoon, NSW 2707"
Argyle,NSW,2350,-30.24,152.01,"Argyle, NSW 2350"
Ariah Park,NSW,2665,-34.36,146.9,"Ariah Park, NSW 2665"
Arkell,NSW,2795,-33.91,149.33,"Arkell, NSW 2795"
Arkstone,NSW,2795,-33.91,149.33,"Arkstone, NSW 2795"
Armidale,NSW,2350,-30.24,152.01,"Armidale, NSW 2350"
Arncliffe,NSW,2205,-33.94,151.15,"Arncliffe, NSW 2205"
Arndell Park,NSW,2148,-33.79,150.87,"Arndell Park, NSW 2148"
Arrawarra,NSW,2456,-30.06,153.19,"Arrawarra, NSW 2456"
Arrawarra Headland,NSW,2456,-30.06,153.19,"Arrawarra Headland, NSW 2456"
Artarmon,NSW,2064,-33.81,151.19,"Artarmon, NSW 2064"
Arthurville,NSW,2820,-32.6,148.96,"Arthurville, NSW 2820"
Arumpo,NSW,2715,-33.87,142.89,"Arumpo, NSW 2715"
Ashbury,NSW,2193,-33.9,151.12,"Ashbury, NSW 2193"
Ashby,NSW,2463,-29.42,153.19,"Ashby, NSW 2463"
Ashby Heights,NSW,2463,-29.42,153.19,"Ashby Heights, NSW 2463"
Ashby Island,NSW,2463,-29.42,153.19,"Ashby Island, NSW 2463"
Ashcroft,NSW,2168,-33.92,150.9,"Ashcroft, NSW 2168"
Ashfield,NSW,2131,-33.89,151.13,"Ashfield, NSW 2131"
Ashford,NSW,2361,-29.32,151.1,"Ashford, NSW 2361"
Ashley,NSW,2400,-29.32,149.81,"Ashley, NSW 2400"
Ashmont,NSW,2650,-35.16,147.51,"Ashmont, NSW 2650"
Ashtonfield,NSW,2323,-32.77,151.6,"Ashtonfield, NSW 2323"
Asquith,NSW,2077,-33.69,151.11,"Asquith, NSW 2077"
Atholwood,NSW,2361,-29.32,151.1,"Atholwood, NSW 2361"
Attunga,NSW,2345,-30.93,150.85,"Attunga, NSW 2345"
Auburn,NSW,2144,-33.85,151.03,"Auburn, NSW 2144"
Auburn Vale,NSW,2360,-29.84,151.04,"Auburn Vale, NSW 2360"
Audley,NSW,2232,-34.08,151.06,"Audley, NSW 2232"
Austinmer,NSW,2515,-34.31,150.93,"Austinmer, NSW 2515"
Austral,NSW,2179,-33.93,150.81,"Austral, NSW 2179"
Austral Eden,NSW,2440,-31.06,152.77,"Austral Eden, NSW 2440"
Avalon Beach,NSW,2107,-33.64,151.33,"Avalon Beach, NSW 2107"
Avisford,NSW,2850,-32.86,149.8,"Avisford, NSW 2850"
Avoca,NSW,2577,-34.61,150.48,"Avoca, NSW 2577"
Avoca Beach,NSW,2251,-33.46,151.43,"Avoca Beach, NSW 2251"
Avon,NSW,2574,-34.35,150.63,"Avon, NSW 2574"
Avondale,NSW,2530,-34.51,150.73,"Avondale, NSW 2530"
Avonside,NSW,2628,-36.44,148.7,"Avonside, NSW 2628"
Awaba,NSW,2283,-33.06,151.58,"Awaba, NSW 2283"
Aylmerton,NSW,2575,-34.41,150.52,"Aylmerton, NSW 2575"
Baan Baa,NSW,2390,-30.6,149.97,"Baan Baa, NSW 2390"
Babinda,NSW,2825,-31.94,146.48,"Babinda, NSW 2825"
Babyl Creek,NSW,2470,-28.73,152.8,"Babyl Creek, NSW 2470"
Back Creek,NSW,2372,-28.93,151.7,"Back Creek, NSW 2372"
Back Creek,NSW,2390,-30.6,149.97,"Back Creek, NSW 2390"
Back Creek,NSW,2422,-31.97,152.07,"Back Creek, NSW 2422"
Back Creek,NSW,2484,-28.4,153.17,"Back Creek, NSW 2484"
Back Creek,NSW,2622,-35.65,149.81,"Back Creek, NSW 2622"
Back Creek,NSW,2671,-34.11,147.14,"Back Creek, NSW 2671"
Back Forest,NSW,2535,-34.85,150.68,"Back Forest, NSW 2535"
Backmede,NSW,2470,-28.73,152.8,"Backmede, NSW 2470"
Backwater,NSW,2365,-30.08,151.88,"Backwater, NSW 2365"
Badgerys Creek,NSW,2555,-33.88,150.74,"Badgerys Creek, NSW 2555"
Badja,NSW,2630,-36.37,148.95,"Badja, NSW 2630"
Baerami,NSW,2333,-32.39,150.47,"Baerami, NSW 2333"
Baerami Creek,NSW,2333,-32.39,150.47,"Baerami Creek, NSW 2333"
Bagnoo,NSW,2446,-31.46,152.53,"Bagnoo, NSW 2446"
